猛勉強,,,1,名詞,固有名詞,一般,*,*,*,勉強,モウベンキョウ,モーベンキョー
三兄弟,,,1,名詞,固有名詞,一般,*,*,*,兄弟,サンキョウダイ,サンキョーダイ
ガイル,,,1,名詞,固有名詞,人名,一般,*,*,俺ガイル,ガイル,ガイル
ベーシスト,,,1,名詞,一般,*,*,*,*,ベース,ベーシスト,ベーシスト
5弦ベース,,,1,名詞,固有名詞,一般,*,*,*,ベース,ゴゲンベース,ゴゲンベース
エロゲー,,,1,名詞,固有名詞,一般,*,*,*,エロゲ,エロゲー,エロゲー
女子プロ野球,,,1,名詞,固有名詞,組織,*,*,*,プロ野球,ジョシプロヤキュウ,ジョシプロヤキュー
ドラムス,,,1,名詞,一般,*,*,*,*,ドラム,ドラムス,ドラムス
落書,,,1,名詞,サ変接続,*,*,*,*,落書き,ラクガキ,ラクガキ
お絵かき,,,1,名詞,固有名詞,一般,*,*,*,お絵書き,オエカキ,オエカキ
アメコミヒーロー,,,1,名詞,固有名詞,一般,*,*,*,アメコミ,アメコミヒーロー,アメコミヒーロー
ワンピ,,,1,名詞,固有名詞,一般,*,*,*,ワンピース,ワンピ,ワンピ
西高校,,,1,名詞,固有名詞,一般,*,*,*,高校,ニシコウコウ,ニシコウコー
政治的,,,1,名詞,固有名詞,一般,*,*,*,政治,セイジテキ,セイジテキ
政治家,,,1,名詞,一般,*,*,*,*,政治,セイジカ,セイジカ
ホラー映画,,,1,名詞,固有名詞,一般,*,*,*,ホラー,ホラーエイガ,ホラーエイガ
高校球児,,,1,名詞,固有名詞,一般,*,*,*,高校野球,コウコウキュウジ,コーコーキュージ
山歩き,,,1,名詞,一般,*,*,*,*,歩き,ヤマアルキ,ヤマアルキ
戦国無双,,,1,名詞,固有名詞,一般,*,*,*,無双,センゴクムソウ,センゴクムソー
映画鑑賞,,,1,名詞,固有名詞,一般,*,*,*,映画,エイガカンショウ,エイガカンショー
詰将棋,,,1,名詞,一般,*,*,*,*,将棋,ツメショウギ,ツメショーギ
飛行,,,1,名詞,サ変接続,*,*,*,*,飛行機,ヒコウ,ヒコー
サバゲ,,,1,名詞,固有名詞,一般,*,*,*,サバゲー,サバゲ,サバゲ
スマブラDX,,,1,名詞,固有名詞,一般,*,*,*,スマブラ,スマブラデラックス,スマブラデラックス
スマブラfor,,,1,名詞,固有名詞,一般,*,*,*,スマブラ,スマブラフォー,スマブラフォー
大天使,,,1,名詞,固有名詞,一般,*,*,*,天使,ダイテンシ,ダイテンシ
B級グルメ,,,1,名詞,固有名詞,一般,*,*,*,グルメ,ビィキュウグルメ,ビィキューグルメ
エロマンガ,,,1,名詞,固有名詞,一般,*,*,*,エロマンガ先生,エロマンガ,エロマンガ
スポーツ観戦,,,1,名詞,固有名詞,一般,*,*,*,スポーツ,スポーツカンセン,スポーツカンセン
冴え,,,1,名詞,一般,*,*,*,*,冴えカノ,サエ,サエ
ももクロちゃん,,,1,名詞,固有名詞,一般,*,*,*,ももクロ,モモクロチャン,モモクロチャン
韓国コスメ,,,1,名詞,固有名詞,一般,*,*,*,コスメ,カンコクコスメ,カンコクコスメ
雑貨店,,,1,名詞,固有名詞,一般,*,*,*,雑貨,ザッカテン,ザッカテン
雑貨屋,,,1,名詞,固有名詞,一般,*,*,*,雑貨,ザッカヤ,ザッカヤ
吹奏楽部,,,1,名詞,固有名詞,一般,*,*,*,吹奏楽,スイソウガクブ,スイソーガクブ
吹奏,,,1,名詞,サ変接続,*,*,*,*,吹奏楽,スイソウ,スイソー
少年ジャンプ,,,1,名詞,固有名詞,一般,*,*,*,ジャンプ,ショウネンジャンプ,ショーネンジャンプ
制作中,,,1,名詞,固有名詞,一般,*,*,*,制作,セイサクチュウ,セイサクチュー
フィギュアスケーター,,,1,名詞,固有名詞,一般,*,*,*,フィギュアスケート,フィギュアスケーター,フィギュアスケーター
鉄道模型,,,1,名詞,固有名詞,一般,*,*,*,模型,テツドウモケイ,テツドーモケイ
艦船模型,,,1,名詞,固有名詞,一般,*,*,*,模型,カンセンモケイ,カンセンモケイ
美術科,,,1,名詞,固有名詞,組織,*,*,*,美術,ビジュツカ,ビジュツカ
廃課金,,,1,名詞,固有名詞,一般,*,*,*,課金,ハイカキン,ハイカキン
格闘ゲーム,,,1,名詞,固有名詞,一般,*,*,*,格ゲー,カクトウゲーム,カクトーゲーム
手芸部,,,1,名詞,固有名詞,一般,*,*,*,手芸,シュゲイブ,シュゲイブ
けいおん!,,,1,名詞,固有名詞,一般,*,*,*,けいおん,ケイオン,ケイオン
