横浜ベイスターズ,,,1,名詞,固有名詞,一般,*,*,*,横浜DeNAベイスターズ,ベイスターズ,ベイスターズ
スマブラDX,,,4972,名詞,固有名詞,一般,*,*,*,スマブラ,スマブラデラックス,スマブラデラックス
最新作,,,7023,名詞,固有名詞,一般,*,*,*,新作,サイシンサク,サイシンサク
野鳥観察,,,5730,名詞,固有名詞,一般,*,*,*,野鳥,ヤチョウカンサツ,ヤチョーカンサツ
握手会,,,4877,名詞,固有名詞,一般,*,*,*,握手,アクシュカイ,アクシュカイ
銀魂.,,,8181,名詞,固有名詞,一般,*,*,*,銀魂,ギンタマ,ギンタマ
1型糖尿病,,,6418,名詞,固有名詞,一般,*,*,*,糖尿病,イチガタトウニョウビョウ,イチガタトーニョービョー
アントラーズサポーター,,,-4100,名詞,固有名詞,一般,*,*,*,鹿島アントラーズ,カシマアントラーズ,カシマアントラーズ
Free!ES,,,4487,名詞,固有名詞,一般,*,*,*,Free!,フリーエターナルサマー,フリーエターナルサマー
最新刊,,,7744,名詞,固有名詞,一般,*,*,*,新刊,サイシンカン,サイシンカン
自身,,,4208,名詞,一般,*,*,*,*,自分自身,ジシン,ジシン
外人,,,5464,名詞,一般,*,*,*,*,外国人,ガイジン,ガイジン
大日本プロレス,,,2907,名詞,固有名詞,組織,*,*,*,プロレス,ダイニホンプロレス,ダイニホンプロレス
新聞社,,,7691,名詞,固有名詞,一般,*,*,*,新聞,シンブンシャ,シンブンシャ
戦車兵,,,6279,名詞,固有名詞,一般,*,*,*,戦車,センシャヘイ,センシャヘイ
同人誌,,,7621,名詞,固有名詞,一般,*,*,*,同人,ドウジンシ,ドージンシ
音楽ゲーム,,,1890,名詞,固有名詞,一般,*,*,*,音ゲー,オンガクゲーム,オンガクゲーム
TV番組,,,7706,名詞,固有名詞,一般,*,*,*,テレビ,テレビバングミ,テレビバングミ
起業家,,,5792,名詞,固有名詞,人名,一般,*,*,起業,キギョウカ,キギョーカ
